"nome_name_do_brasil","minuscula_sem_acento","maiuscula_sem_acento","first_sem_acento","minuscula_com_acento","maiuscula_com_acento","first_com_acento"
"ADVANILDO","advanildo","ADVANILDO","Advanildo","advanildo","ADVANILDO","Advanildo"
"AECIO","aecio","AECIO","Aecio","aecio","AECIO","Aecio"
"AELSON","aelson","AELSON","Aelson","aelson","AELSON","Aelson"
"AELTON","aelton","AELTON","Aelton","aelton","AELTON","Aelton"
"AERTON","aerton","AERTON","Aerton","aerton","AERTON","Aerton"
"AFARELLI","afarelli","AFARELLI","Afarelli","afarelli","AFARELLI","Afarelli"
"AFFONSO","affonso","AFFONSO","Affonso","affonso","AFFONSO","Affonso"
"AFONSA","afonsa","AFONSA","Afonsa","afonsa","AFONSA","Afonsa"
"AFONSINA","afonsina","AFONSINA","Afonsina","afonsina","AFONSINA","Afonsina"
"AFONSO","afonso","AFONSO","Afonso","afonso","AFONSO","Afonso"
"AGANETTE","aganette","AGANETTE","Aganette","aganette","AGANETTE","Aganette"
"AGASSI","agassi","AGASSI","Agassi","agassi","AGASSI","Agassi"
"AGATA","agata","AGATA","Agata","agata","AGATA","Agata"
"AGATHA","agatha","AGATHA","Agatha","agatha","AGATHA","Agatha"
"AGATINA","agatina","AGATINA","Agatina","agatina","AGATINA","Agatina"
"AGATINO","agatino","AGATINO","Agatino","agatino","AGATINO","Agatino"
"AGATTA","agatta","AGATTA","Agatta","agatta","AGATTA","Agatta"
"AGAULETO","agauleto","AGAULETO","Agauleto","agauleto","AGAULETO","Agauleto"
"AGDA","agda","AGDA","Agda","agda","AGDA","Agda"
"AGDO","agdo","AGDO","Agdo","agdo","AGDO","Agdo"
"AGENOR","agenor","AGENOR","Agenor","agenor","AGENOR","Agenor"
"AGEU","ageu","AGEU","Ageu","ageu","AGEU","Ageu"
"AGHATA","aghata","AGHATA","Aghata","aghata","AGHATA","Aghata"
"AGILBERTO","agilberto","AGILBERTO","Agilberto","agilberto","AGILBERTO","Agilberto"
"AGILDO","agildo","AGILDO","Agildo","agildo","AGILDO","Agildo"
"AGLAIA","aglaia","AGLAIA","Aglaia","aglaia","AGLAIA","Aglaia"
"AGLEN","aglen","AGLEN","Aglen","aglen","AGLEN","Aglen"
"AGMAR","agmar","AGMAR","Agmar","agmar","AGMAR","Agmar"
"AGNA","agna","AGNA","Agna","agna","AGNA","Agna"
"AGNALDO","agnaldo","AGNALDO","Agnaldo","agnaldo","AGNALDO","Agnaldo"
"AGNE","agne","AGNE","Agne","agne","AGNE","Agne"
"AGNES","agnes","AGNES","Agnes","agnes","AGNES","Agnes"
"AGNESE","agnese","AGNESE","Agnese","agnese","AGNESE","Agnese"
"AGNEZ","agnez","AGNEZ","Agnez","agnez","AGNEZ","Agnez"
"AGNOL","agnol","AGNOL","Agnol","agnol","AGNOL","Agnol"
"AGOPIAN","agopian","AGOPIAN","Agopian","agopian","AGOPIAN","Agopian"
"AGOSTINA","agostina","AGOSTINA","Agostina","agostina","AGOSTINA","Agostina"
"AGOSTINE","agostine","AGOSTINE","Agostine","agostine","AGOSTINE","Agostine"
"AGOSTINHO","agostinho","AGOSTINHO","Agostinho","agostinho","AGOSTINHO","Agostinho"
"AGOSTINI","agostini","AGOSTINI","Agostini","agostini","AGOSTINI","Agostini"
"AGOSTINO","agostino","AGOSTINO","Agostino","agostino","AGOSTINO","Agostino"
"AGRA","agra","AGRA","Agra","agra","AGRA","Agra"
"AGRICCO","agricco","AGRICCO","Agricco","agricco","AGRICCO","Agricco"
"AGRICO","agrico","AGRICO","Agrico","agrico","AGRICO","Agrico"
"AGRIPINO","agripino","AGRIPINO","Agripino","agripino","AGRIPINO","Agripino"
"AGUDO","agudo","AGUDO","Agudo","agudo","AGUDO","Agudo"
"AGUEDA","agueda","AGUEDA","Agueda","agueda","AGUEDA","Agueda"
"AGUERA","aguera","AGUERA","Aguera","aguera","AGUERA","Aguera"
"AGUERDO","aguerdo","AGUERDO","Aguerdo","aguerdo","AGUERDO","Aguerdo"
"AGUIAR","aguiar","AGUIAR","Aguiar","aguiar","AGUIAR","Aguiar"
"AGUILAR","aguilar","AGUILAR","Aguilar","aguilar","AGUILAR","Aguilar"
"AGUILENA","aguilena","AGUILENA","Aguilena","aguilena","AGUILENA","Aguilena"
"AGUILERA","aguilera","AGUILERA","Aguilera","aguilera","AGUILERA","Aguilera"
